句子,长度,斯坦福,清华
经济基础决定上层建筑。,11,经济 基础 决定 上层 建筑 。 ,经济基础 决定 上层建筑 。 
同志们、朋友们！,8,同志们 、 朋友们 ！ ,同志 们 、 朋友 们 ！ 
同志们、朋友们！,8,同志们 、 朋友们 ！ ,同志 们 、 朋友 们 ！ 
同志们，朋友们！,8,同志们 ， 朋友们 ！ ,同志 们 ， 朋友 们 ！ 
中央领导率先垂范。,9,中央 领导 率先 垂范 。 ,中央 领导 率先垂范 。 
各种措施力求形成长效机制。,13,各 种 措施 力求 形成 长效 机制 。 ,各种 措施 力求 形成 长效 机制 。 
但繁市场并不能令人满意。,12,但 繁 市场 并 不 能 令 人 满意 。 ,但 繁 市场 并 不 能 令人满意 。 
与拙相对应的是巧。,9,与 拙相 对应 的 是 巧 。 ,与 拙 相 对应 的 是 巧 。 
期盼一个怎样的社会？,10,期盼 一 个 怎样 的 社会 ？ ,期盼 一个 怎样 的 社会 ？ 
每个人都活在自己的历史里。,13,每 个 人 都 活 在 自己 的 历史 里 。 ,每个 人 都 活 在 自己 的 历史 里 。 
还有一个重要依赖工具是汽车。,14,还 有 一 个 重要 依赖 工具 是 汽车 。 ,还有 一个 重要 依赖 工具 是 汽车 。 
这里素有江北毛竹第一镇美誉。,14,这里 素 有 江北 毛竹 第一 镇 美誉 。 ,这里 素有 江北 毛竹 第一 镇 美誉 。 
驻村干部都办了哪些事？,11,驻 村 干部 都 办 了 哪些 事 ？ ,驻 村干部 都 办 了 哪些 事 ？ 
建好谁来管？,6,建好 谁 来 管 ？ ,建 好 谁 来 管 ？ 
强农田水利基础，保粮食安全。,14,强 农田 水利 基础 ， 保 粮食 安全 。 ,强 农田水利 基础 ， 保 粮食 安全 。 
说到这里，她伤心地哭了。,12,说到 这里 ， 她 伤心地 哭 了 。 ,说 到 这里 ， 她 伤心 地 哭 了 。 
这种病治愈的希望很小。,11,这 种 病 治愈 的 希望 很 小 。 ,这种 病 治愈 的 希望 很 小 。 
中央领导率先垂范。,9,中央 领导 率先 垂范 。 ,中央 领导 率先垂范 。 
各种措施力求形成长效机制。,13,各 种 措施 力求 形成 长效 机制 。 ,各种 措施 力求 形成 长效 机制 。 
但繁市场并不能令人满意。,12,但 繁 市场 并 不 能 令 人 满意 。 ,但 繁 市场 并 不 能 令人满意 。 
此外，还要注意搜集证据。,12,此外 ， 还 要 注意 搜集 证据 。 ,此外 ， 还要 注意 搜集 证据 。 
谁来监管是要考虑的一个问题。,14,谁 来 监管 是 要 考虑 的 一 个 问题 。 ,谁 来 监管 是 要 考虑 的 一个 问题 。 
今起推出第一篇。,8,今起 推出 第一 篇 。 ,今 起 推出 第一 篇 。 
4的全面普及需要一个过程。,13,4 的 全面 普及 需要 一 个 过程 。 ,4 的 全面 普及 需要 一个 过程 。 
下一个走出去的是谁？,10,下 一 个 走 出去 的 是 谁 ？ ,下 一个 走 出去 的 是 谁 ？ 
说近些年没出人才，并非事实。,14,说 近些 年 没 出 人才 ， 并非 事实 。 ,说 近些年 没 出 人才 ， 并非 事实 。 
31万超标电动车，驶向何方？,14,31万 超标 电动车 ， 驶向 何方 ？ ,31万 超标 电动车 ， 驶 向 何方 ？ 
窄处两拃宽，仅容一脚。,11,窄 处 两 拃宽 ， 仅容一脚 。 ,窄 处 两 拃 宽 ， 仅 容 一 脚 。 
