cql,my,blacklab,speed
"[word='一边'][]{1,5}[word='一边']",15,14.2,FALSE
"[word='不是'][]{1,5}[word='而是']",15,15.75,TRUE
"[word='不但'][]{1,5}[word='而且']",15,17.44444444,TRUE
[word='和平'][word='共处'],15,15.625,TRUE
[word='和平共处'],15,16,TRUE
[word='文档'],15,15.66666667,TRUE
[word='拆分'],15,15.6,TRUE
[word='拭目以待'],15,15.66666667,TRUE
[word='层面'],20.81818182,16.625,FALSE
[word='喜欢'|xpos='VV'][word='运动'],41.90909091,192.8181818,TRUE
[word='编辑'&xpos='VV'],15,46.90909091,TRUE
[word='烟雾'],9,16.2,TRUE
[word='美食'],9.2,15.66666667,TRUE
[word='一体'],12.45454545,15.57142857,TRUE
[word='美景'],10,15.6,TRUE
[word='美不胜收'],7,15.6,TRUE
[word='历时'],14.25,15.57142857,TRUE
[word='白相节'],15,15.5,TRUE
[word='展开'][word='对决'],15,15.5,TRUE
[word='热闹'][word='非凡'],15,15.625,TRUE
[word='棉花糖'],15,15.5,TRUE
[word='糖葫芦'],15,15.75,TRUE
[word='热气'][word='腾腾'],15,15.71428571,TRUE
[word='取悦'],15,15.6,TRUE
[word='固然'][word='可以'],26.63636364,17.85714286,FALSE
[word='制造业'],19.81818182,15.57142857,FALSE
[word='安居乐业'&xpos='VV'],10,45.54545455,TRUE
[word='导向'],17.63636364,16.125,FALSE
[word='广西'],16.90909091,16.14285714,FALSE
[word='加上'],11,19.5,TRUE
[word='关心'],15.36363636,15.125,FALSE
[word='而且'&xpos='AD'],38.36363636,30.90909091,FALSE
[word='人物'],17,16.71428571,FALSE
[word='巩固'],15.09090909,15.71428571,TRUE
[word='准确'],15,16.42857143,TRUE
[word='特大'&xpos='JJ'],8.5,17,TRUE
[word='违规'],15,18.5,TRUE
[word='榜样'],12,16.5,TRUE
[word='工商界'],15,15.5,TRUE
[word='予以'&xpos='VV'],15,49.72727273,TRUE
[word='跋涉'],15,13.16666667,FALSE
[word='拉扎克'],10.33333333,15.33333333,TRUE
[word='曾经'],18,15.71428571,FALSE
[word='相对'],18.45454545,15.57142857,FALSE
[word='稳妥'],15.33333333,15.16666667,FALSE
[word='综艺馆'],15,15.75,TRUE
[word='大熊猫'&xpos='NN'],14,71.27272727,TRUE
[word='思想史'],15,15.66666667,TRUE
[word='交易会'],15,15.5,TRUE
[word='根治'],15,15.66666667,TRUE
[word='龙舟节'],7,15.66666667,TRUE
[word='大势'&xpos='NN'],11,84.27272727,TRUE
[word='战役'],20.81818182,15.66666667,FALSE
[word='单位'&xpos='NN'],80.27272727,90.90909091,TRUE
[word='使馆'],11.25,15.66666667,TRUE
[word='报时'],15,15.75,TRUE
[word='美好'],19.36363636,16.125,FALSE
[word='美术'],15,16.83333333,TRUE
[word='美育'],15,15.6,TRUE
[word='论述'],15,15.71428571,TRUE
[word='读到'],15,15.6,TRUE
[word='尽可能'],15.6,15,FALSE
[word='整改'],16.72727273,17.85714286,TRUE
[word='感到'],15,15.57142857,TRUE
[word='假冒'],15,15.5,TRUE
[word='材料'],19.36363636,16.625,FALSE
[word='开创'&xpos='VV'],15,46.81818182,TRUE
[word='权力'&xpos='NN'],33.72727273,86,TRUE
[word='网点'],15,15.8,TRUE
[word='亿元'],15,15.6,TRUE
[word='大小'],15,15.66666667,TRUE
[word='回国'],15,15.5,TRUE
[word='学堂'],3.333333333,15.66666667,TRUE
[word='区域'&xpos='NN'],57.09090909,88.90909091,TRUE
[word='共享'],16,17,TRUE
[word='非亲非故'],7.5,15.66666667,TRUE
[word='装箱'],15,15.6,TRUE
[word='实验'],15,16,TRUE
[word='题材'],15,16,TRUE
[word='病人'],15,15.71428571,TRUE
[word='气候'&pos='NN'],21.45454545,15.5,FALSE
[word='抗议'],9.25,15.66666667,TRUE
[word='出生'],15,14.5,FALSE
[word='发往'],4.333333333,15.6,TRUE
[word='公交'&pos='NN'],13,15.5,TRUE
[word='用户'],21.36363636,17.75,FALSE
[word='院团'&pos='NN'],8.666666667,9.5,TRUE
[word='一切'],23.72727273,17.85714286,FALSE
[word='独特'],15,17.85714286,TRUE
[word='家门'],15,15.66666667,TRUE
[word='精神科'],15,15.6,TRUE
[word='领土'],15,14.71428571,FALSE
[word='大意不得'],15,15.66666667,TRUE
[word='圣保罗州'],15,15.6,TRUE
[word='遗产'&pos='NN'],15.09090909,15.5,TRUE
[word='茨威格'],15,15.6,TRUE
[word='外交部'],15.14285714,17.85714286,TRUE
[word='难产'],15,15.6,TRUE
[word='纳入'&pos='VV'],22.27272727,15.5,FALSE
[word='充满'],20.36363636,17.85714286,FALSE
[word='世界杯'],9.4,19.14285714,TRUE
[word='放权'],15.22222222,17.85714286,TRUE
[word='打井'&pos='VV'],15,16,TRUE
[word='埃镑'],15,15.6,TRUE
[word='暗沙'],15,15.66666667,TRUE
[word='上海市'],15,15.57142857,TRUE
[word='神州'],9.5,15.6,TRUE
[word='转移'],22.27272727,17.625,FALSE
[word='经费'&pos='NN'],16.72727273,16,FALSE
[word='虚拟'],14.75,15.5,TRUE
[word='陀螺'],15.5,15.6,TRUE
[word='国家队'&pos='NN'],15,16,TRUE
[word='质疑'],15,15.25,TRUE
[word='促进会'],15,15.8,TRUE
[word='扎根'],15,15.66666667,TRUE
[word='冻雨'],15,15.5,TRUE
[word='超配'],15,16,TRUE
[word='品格'],15,15.5,TRUE
[word='排查'&pos='NN'],15,15.5,TRUE
[word='揭牌'],15,15.66666667,TRUE
[word='学科'],15,17.42857143,TRUE
[word='至上'],15,15.66666667,TRUE
[word='房地产'],9.4,15.57142857,TRUE
[word='技能'],13.8,15,TRUE
[word='宪法'],19.45454545,15.625,FALSE
[word='理清'&pos='VV'],15,16,TRUE
[word='航行'],15,15.5,TRUE
[word='高考'],15,19.28571429,TRUE
[word='读完'],15,12.33333333,FALSE
[word='懈怠'],15,15.6,TRUE
[word='西班牙'],15,15.57142857,TRUE
[word='税务'],12.5,17.85714286,TRUE
[word='波罗'],8.333333333,15.83333333,TRUE
[word='对抗'&pos='NN'],10.85714286,15.5,TRUE
[word='座谈会'],15.54545455,15.85714286,TRUE
[word='拐杖'],10.33333333,7.818181818,FALSE
[word='少数'],18.54545455,18,FALSE
[word='异地'],10.2,15.66666667,TRUE
[word='当选'],9.625,16.83333333,TRUE
[word='分子'],16.54545455,17.85714286,TRUE
[word='迅速'],19.36363636,15.5,FALSE
[word='自负'],7.5,15.6,TRUE
[word='导引'],15,15.6,TRUE
[word='多亏'&pos='VV'],15,16,TRUE
[word='政权'],15.2,15.6,TRUE
[word='无数'],15,18.16666667,TRUE
[word='记录'],16.90909091,15.57142857,FALSE
[word='员工'],15.27272727,15.57142857,TRUE
[word='礼赞'],15,15.6,TRUE
[word='亲戚'],15,15.66666667,TRUE
[word='品种'],13.5,15.57142857,TRUE
[word='盖棺'],6.666666667,15.66666667,TRUE
[word='搜索'],15,15.5,TRUE
[word='不利于'],15,14.83333333,FALSE
[word='标准煤'],13.72727273,15.6,TRUE
